13072;Rostock;210732;210555;211878;213473;213945
13073;Vorpommern-Rügen;223718;223109;223470;224820;224971
13074;Nordwestmecklenburg;155801;155265;155424;156270;156825
13075;Vorpommern-Greifswald;239291;238185;237697;238358;237374
13076;Ludwigslust-Parchim;212373;211965;212631;214113;212562
14161;Chemnitz;-;-;-;-;-
14166;Plauen;-;-;-;-;-
14167;Zwickau;-;-;-;-;-
14171;Annaberg;-;-;-;-;-
14173;Chemnitzer Land;-;-;-;-;-
14177;Freiberg;-;-;-;-;-
14178;Vogtlandkreis;-;-;-;-;-
14181;Mittlerer Erzgebirgskreis;-;-;-;-;-
14182;Mittweida;-;-;-;-;-
14188;Stollberg;-;-;-;-;-
14191;Aue-Schwarzenberg;-;-;-;-;-
14193;Zwickauer Land;-;-;-;-;-
14262;Dresden;-;-;-;-;-
14263;Görlitz;-;-;-;-;-
14264;Hoyerswerda;-;-;-;-;-
14272;Bautzen;-;-;-;-;-
14280;Meißen;-;-;-;-;-
14284;Niederschlesischer Oberlausitzkreis;-;-;-;-;-
14285;Riesa-Großenhain;-;-;-;-;-
14286;Löbau-Zittau;-;-;-;-;-
14287;Sächsische Schweiz;-;-;-;-;-
14290;Weißeritzkreis;-;-;-;-;-
14292;Kamenz;-;-;-;-;-
14365;Leipzig;-;-;-;-;-
14374;Delitzsch;-;-;-;-;-
14375;Döbeln;-;-;-;-;-
14379;Leipziger Land;-;-;-;-;-
14383;Muldentalkreis;-;-;-;-;-
14389;Torgau-Oschatz;-;-;-;-;-
14511;Chemnitz;241210;242022;243521;248645;246353
14521;Erzgebirgskreis;355275;351309;349582;347665;344136
14522;Mittelsachsen;317204;314591;312711;312450;310505
14523;Vogtlandkreis;236227;233970;232390;232318;231051
14524;Zwickau;330294;327062;325137;324534;322099
14612;Dresden;525105;530754;536308;543825;547172
14625;Bautzen;310898;308350;306570;306273;304691
14626;Görlitz;264673;262168;260188;260000;258337
14627;Meißen;244717;243716;243745;245244;243889
14628;Sächsische Schweiz-Osterzgebirge;245927;245939;245954;247412;246066
14713;Leipzig;520838;531562;544479;560472;571088
14729;Leipzig;259207;257596;257647;258408;258333
14730;Nordsachsen;198629;197346;197042;197605;198063
15001;Dessau-Roßlau;84606;83616;83061;82919;82505
15002;Halle (Saale);231440;231565;232470;236991;238005
15003;Magdeburg;229924;231021;232305;235723;238136
15081;Altmarkkreis Salzwedel;86878;86312;86071;86164;85236
15082;Anhalt-Bitterfeld;168475;166828;165076;164817;163100
15083;Börde;174001;172955;172830;173473;172959
15084;Burgenlandkreis;186081;184956;184055;184081;183174
15085;Harz;223094;221043;219618;221366;219643
15086;Jerichower Land;92367;91721;91359;91693;91345
15087;Mansfeld-Südharz;144735;143246;142054;141408;139781
15088;Saalekreis;189217;187690;186510;186431;185951
15089;Salzlandkreis;201210;198715;196750;196695;194575
15090;Stendal;116666;115471;114668;115262;114393
15091;Wittenberg;130699;129438;128721;128447;127449
15101;Dessau;-;-;-;-;-
15151;Anhalt-Zerbst;-;-;-;-;-
15153;Bernburg;-;-;-;-;-
15154;Bitterfeld;-;-;-;-;-
15159;Köthen;-;-;-;-;-
15171;Wittenberg;-;-;-;-;-
15202;Halle (Saale);-;-;-;-;-
15256;Burgenlandkreis;-;-;-;-;-
15260;Mansfelder Land;-;-;-;-;-
15261;Merseburg-Querfurt;-;-;-;-;-
15265;Saalkreis;-;-;-;-;-
15266;Sangerhausen;-;-;-;-;-
15268;Weißenfels;-;-;-;-;-
15303;Magdeburg;-;-;-;-;-
15352;Aschersleben-Staßfurt;-;-;-;-;-
15355;Bördekreis;-;-;-;-;-
15357;Halberstadt;-;-;-;-;-
15358;Jerichower Land;-;-;-;-;-
15362;Ohrekreis;-;-;-;-;-
15363;Stendal;-;-;-;-;-
15364;Quedlinburg;-;-;-;-;-
15367;Schönebeck;-;-;-;-;-
15369;Wernigerode;-;-;-;-;-
15370;Altmarkkreis Salzwedel;-;-;-;-;-
16051;Erfurt;203485;204880;206219;210118;211113
16052;Gera;95384;94977;94492;96011;94750
16053;Jena;106915;107679;108207;109527;110321
16054;Suhl;35967;35665;36208;36778;35608
16055;Weimar;63236;63315;63477;64131;64355
16056;Eisenach;41744;41567;41884;42417;42588
16061;Eichsfeld;101312;100951;100730;101325;101033
16062;Nordhausen;85921;85380;85055;85355;85098
16063;Wartburgkreis;127227;126283;125835;125655;124729
